Season,Year,Month,NoDaysInMonth,AverageDailyVisits,SumPrecips,AvgHumidity,AvgMaxTemp,AvgTemp,AvgTempRange
dry,1995,6,2,3.5,0,62.97,25.53,18.45,14.16
dry,1995,7,3,3.33,0,57.06,26.14,19.2,13.87
dry,1995,8,10,9.9,0,40.16,28.61,20.78,15.66
dry,1995,9,4,13.5,5,41.97,29.88,22.09,15.57
wet,1995,10,5,15,86.5,57.58,30.53,23.4,14.25
wet,1995,11,2,4,292.1,75.27,26.98,21.57,10.81
wet,1995,12,2,9.5,328.3,79.58,26.61,21.74,9.74
wet,1996,1,3,2.33,66,66.94,28.38,22.12,12.52
wet,1996,2,3,9.33,190,67.07,29.09,22.59,13
wet,1996,3,3,13.33,304.7,76.84,27.74,22.15,11.18
dry,1996,4,5,23,39.7,71.13,26.96,21.01,11.89
dry,1996,5,6,22.33,26.5,66.9,26.72,20.14,13.16
dry,1996,6,6,33.83,0,60.13,25.66,18.36,14.6
dry,1996,7,5,37.4,0,46.1,26.6,18.58,16.03
dry,1996,8,8,20.5,48,47.9,27.92,20.58,14.69
dry,1996,9,7,15.29,37.6,49.97,28.99,22.33,13.33
wet,1996,10,5,17.2,116.3,64.39,29.04,22.93,12.23
wet,1996,11,7,21.14,261.2,76.27,26.44,21.66,9.56
wet,1996,12,4,33,293.6,72.55,27.93,22.55,10.75
wet,1997,1,7,12.43,358,80.68,25.95,21.66,8.57
wet,1997,2,7,14.86,104.3,70.11,27.7,22.32,10.76
wet,1997,3,6,21.5,304.2,81.42,25.54,21.31,8.46
dry,1997,4,8,33,148.1,77.67,26.13,21.08,10.1
dry,1997,5,6,11.33,114.2,70.42,24.82,19,11.65
dry,1997,6,1,8,21.4,66.7,25.33,18.72,13.22
